capturing 148 fixtures via screencapturekit at 1.0x (interleaved)
presenting INACTIVE: key=false NSApp.isActive=false policy=accessory canBecomeKey=false
  [60/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-64__circular-120__inactive dry-run inactive key=false active=false
  [61/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__circular-120__inactive dry-run inactive key=false active=false
  [62/148] apple-macos-27.0-1x-light-standard-glass0.5/blue__none__inactive dry-run inactive key=false active=false
  [63/148] apple-macos-27.0-1x-dark-standard-glass0.5/checkerboard-64__circular-120__inactive dry-run inactive key=false active=false
  [64/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-64__circular-120__inactive dry-run inactive key=false active=false
  [65/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-32__none__inactive dry-run inactive key=false active=false
  [66/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-255__rectangle-120__inactive dry-run inactive key=false active=false
  [67/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-128__continuous-160__inactive dry-run inactive key=false active=false
  [68/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-135-small__none__inactive dry-run inactive key=false active=false
  [69/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-0-large__circular-120__inactive dry-run inactive key=false active=false
  [70/148] apple-macos-27.0-1x-dark-standard-glass0.5/local-x-64__circular-120__inactive dry-run inactive key=false active=false
  [71/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__rectangle-120__inactive dry-run inactive key=false active=false
  [72/148] apple-macos-27.0-1x-light-standard-glass0.5/green__none__inactive dry-run inactive key=false active=false
  [73/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-32__circular-120__inactive dry-run inactive key=false active=false
  [74/148] apple-macos-27.0-1x-light-standard-glass0.5/local-y-64__circular-120__inactive dry-run inactive key=false active=false
  [75/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-135-large__circular-120__inactive dry-run inactive key=false active=false
  [76/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-128__capsule-button__inactive dry-run inactive key=false active=false
  [77/148] apple-macos-27.0-1x-dark-standard-glass0.5/red__continuous-160__inactive dry-run inactive key=false active=false
  [78/148] apple-macos-27.0-1x-light-standard-glass0.5/red__rectangle-120__inactive dry-run inactive key=false active=false
  [79/148] apple-macos-27.0-1x-dark-standard-glass0.5/checkerboard__capsule-button__inactive dry-run inactive key=false active=false
  [80/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-0__circular-160-opaque-255__inactive dry-run inactive key=false active=false
  [81/148] apple-macos-27.0-1x-dark-standard-glass0.5/red__circular-200__inactive dry-run inactive key=false active=false
  [82/148] apple-macos-27.0-1x-dark-standard-glass0.5/red__capsule-button__inactive dry-run inactive key=false active=false
  [83/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-128__circular-160__inactive dry-run inactive key=false active=false
  [84/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-45-small__circular-120__inactive dry-run inactive key=false active=false
  [85/148] apple-macos-27.0-1x-light-standard-glass0.5/checkerboard__capsule-button__inactive dry-run inactive key=false active=false
  [86/148] apple-macos-27.0-1x-dark-standard-glass0.5/red__continuous-200__inactive dry-run inactive key=false active=false
  [87/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-96__circular-120__inactive dry-run inactive key=false active=false
  [88/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-160__circular-120__inactive dry-run inactive key=false active=false
  [89/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-128__continuous-200__inactive dry-run inactive key=false active=false
  [90/148] apple-macos-27.0-1x-light-standard-glass0.5/light-solid__none__inactive dry-run inactive key=false active=false
  [91/148] apple-macos-27.0-1x-dark-standard-glass0.5/local-y-64__circular-120__inactive dry-run inactive key=false active=false
  [92/148] apple-macos-27.0-1x-light-standard-glass0.5/local-y-64__none__inactive dry-run inactive key=false active=false
  [93/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-255__capsule-button__inactive dry-run inactive key=false active=false
  [94/148] apple-macos-27.0-1x-dark-standard-glass0.5/checkerboard-4__circular-120__inactive dry-run inactive key=false active=false
  [95/148] apple-macos-27.0-1x-light-standard-glass0.5/checkerboard-4__none__inactive dry-run inactive key=false active=false
  [96/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-45-small__none__inactive dry-run inactive key=false active=false
  [97/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-0__circular-120__inactive dry-run inactive key=false active=false
  [98/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-45-large__circular-120__inactive dry-run inactive key=false active=false
  [99/148] apple-macos-27.0-1x-dark-standard-glass0.5/green__circular-120__inactive dry-run inactive key=false active=false
  [100/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-160__circular-120__inactive dry-run inactive key=false active=false
  [101/148] apple-macos-27.0-1x-light-standard-glass0.5/yellow__circular-120__inactive dry-run inactive key=false active=false
  [102/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-90-large__none__inactive dry-run inactive key=false active=false
  [103/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-0__continuous-160-opaque-255__inactive dry-run inactive key=false active=false
  [104/148] apple-macos-27.0-1x-light-standard-glass0.5/yellow__none__inactive dry-run inactive key=false active=false
  [105/148] apple-macos-27.0-1x-light-standard-glass0.5/red__circular-200__inactive dry-run inactive key=false active=false
  [106/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-0-small__circular-120__inactive dry-run inactive key=false active=false
  [107/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__capsule-button__inactive dry-run inactive key=false active=false
  [108/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-208__circular-120__inactive dry-run inactive key=false active=false
  [109/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__rectangle-120-opaque-0__inactive dry-run inactive key=false active=false
  [110/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-255__circular-120__inactive dry-run inactive key=false active=false
  [111/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__continuous-200-opaque-0__inactive dry-run inactive key=false active=false
  [112/148] apple-macos-27.0-1x-light-standard-glass0.5/photo__none__inactive dry-run inactive key=false active=false
  [113/148] apple-macos-27.0-1x-light-standard-glass0.5/cyan__circular-120__inactive dry-run inactive key=false active=false
  [114/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-128__rectangle-120__inactive dry-run inactive key=false active=false
  [115/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-0-small__none__inactive dry-run inactive key=false active=false
  [116/148] apple-macos-27.0-1x-dark-standard-glass0.5/gradient-0-small__circular-120__inactive dry-run inactive key=false active=false
  [117/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-0__continuous-200-opaque-255__inactive dry-run inactive key=false active=false
  [118/148] apple-macos-27.0-1x-dark-standard-glass0.5/local-y-192__circular-120__inactive dry-run inactive key=false active=false
  [119/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__capsule-button-opaque-0__inactive dry-run inactive key=false active=false
  [120/148] apple-macos-27.0-1x-light-standard-glass0.5/local-x-192__circular-120__inactive dry-run inactive key=false active=false
  [121/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-255__circular-200__inactive dry-run inactive key=false active=false
  [122/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-0__none__inactive dry-run inactive key=false active=false
  [123/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-128__rectangle-120__inactive dry-run inactive key=false active=false
  [124/148] apple-macos-27.0-1x-light-standard-glass0.5/light-solid__capsule-button__inactive dry-run inactive key=false active=false
  [125/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__continuous-200__inactive dry-run inactive key=false active=false
  [126/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-128__continuous-200__inactive dry-run inactive key=false active=false
  [127/148] apple-macos-27.0-1x-light-standard-glass0.5/checkerboard__none__inactive dry-run inactive key=false active=false
  [128/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-255__circular-160__inactive dry-run inactive key=false active=false
  [129/148] apple-macos-27.0-1x-dark-standard-glass0.5/magenta__circular-120__inactive dry-run inactive key=false active=false
  [130/148] apple-macos-27.0-1x-dark-standard-glass0.5/light-solid__capsule-button__inactive dry-run inactive key=false active=false
  [131/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__circular-160__inactive dry-run inactive key=false active=false
  [132/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-255__circular-120-opaque-0__inactive dry-run inactive key=false active=false
  [133/148] apple-macos-27.0-1x-light-standard-glass0.5/red__continuous-200__inactive dry-run inactive key=false active=false
  [134/148] apple-macos-27.0-1x-light-standard-glass0.5/checkerboard-64__none__inactive dry-run inactive key=false active=false
  [135/148] apple-macos-27.0-1x-dark-standard-glass0.5/gradient-90-small__circular-120__inactive dry-run inactive key=false active=false
  [136/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-0-large__none__inactive dry-run inactive key=false active=false
  [137/148] apple-macos-27.0-1x-dark-standard-glass0.5/blue__circular-120__inactive dry-run inactive key=false active=false
  [138/148] apple-macos-27.0-1x-dark-standard-glass0.5/red__circular-160__inactive dry-run inactive key=false active=false
  [139/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-0__rectangle-120-opaque-255__inactive dry-run inactive key=false active=false
  [140/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-0__capsule-button-opaque-255__inactive dry-run inactive key=false active=false
  [141/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-90-small__none__inactive dry-run inactive key=false active=false
  [142/148] apple-macos-27.0-1x-light-standard-glass0.5/red__circular-160__inactive dry-run inactive key=false active=false
  [143/148] apple-macos-27.0-1x-light-standard-glass0.5/gradient-135-small__circular-120__inactive dry-run inactive key=false active=false
  [144/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-0__circular-120-opaque-255__inactive dry-run inactive key=false active=false
  [145/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-0__circular-200-opaque-255__inactive dry-run inactive key=false active=false
  [146/148] apple-macos-27.0-1x-light-standard-glass0.5/grey-32__circular-120__inactive dry-run inactive key=false active=false
  [147/148] apple-macos-27.0-1x-light-standard-glass0.5/local-x-64__none__inactive dry-run inactive key=false active=false
  [148/148] apple-macos-27.0-1x-dark-standard-glass0.5/grey-128__circular-200__inactive dry-run inactive key=false active=false
dry run complete: every cell presented and attested in the inactive pose.
Nothing was captured, nothing was written, and /Users/new/vitrea-w34/scratch/sitting-dry-v2/inactive-1x/run-1 is untouched.
