W23 G1 — the backdrop tone each group is handed, per scene, per bed
========================================================================================================
`level` is the ENCODED-space tone level the collapse's argument is taken from; `linear` is the
linear mean the rim's law reads where the material's own layer does not cover the pixel.

=== light scheme at dpr 1 ===
  scene                                                background       group                level     linear
  checkerboard__capsule-button__rest-tint-blue         checkerboard     component           0.2140    0.50000
  photo__rrect-md__rest-tint-orange                    photo            component           0.1515    0.21407
  hc-text__capsule-button__rest-tint-orange            hc-text          component           0.5071    0.74003
  photo__rrect-lg__rest-tint-orange                    photo            component           0.1515    0.21407
  dark-solid__capsule-button__rest-tint-blue           dark-solid       component           0.0117    0.01171
  groups: 42; with NO tone at all: 0; with a tone of exactly 0: 0

=== light scheme at dpr 2 ===
  scene                                                background       group                level     linear
  light-solid__capsule-button__rest                    light-solid      component           0.8910    0.89097
  dark-solid__capsule-button__rest                     dark-solid       component           0.0117    0.01171
  checkerboard__capsule-button__rest                   checkerboard     component           0.2139    0.48783
  impulse__capsule-button__rest                        impulse          component           0.0003    0.00339
  photo__capsule-button__rest                          photo            component           0.1501    0.21253
  hc-text__capsule-button__rest                        hc-text          component           0.5068    0.73145
  light-solid__rrect-md__rest                          light-solid      component           0.8910    0.89097
  dark-solid__rrect-md__rest                           dark-solid       component           0.0117    0.01171
  checkerboard__rrect-md__rest                         checkerboard     component           0.2139    0.48783
  impulse__rrect-md__rest                              impulse          component           0.0003    0.00339
  photo__rrect-md__rest                                photo            component           0.1501    0.21253
  hc-text__rrect-md__rest                              hc-text          component           0.5068    0.73145
  light-solid__rrect-ml__rest                          light-solid      component           0.8910    0.89097
  checkerboard__rrect-ml__rest                         checkerboard     component           0.2139    0.48783
  photo__rrect-ml__rest                                photo            component           0.1501    0.21253
  checkerboard__rrect-sm__rest                         checkerboard     component           0.2139    0.48783
  photo__rrect-sm__rest                                photo            component           0.1501    0.21253
  checkerboard__rrect-lg__rest                         checkerboard     component           0.2139    0.48783
  photo__rrect-lg__rest                                photo            component           0.1501    0.21253
  checkerboard__toolbar-group__rest                    checkerboard     component           0.2139    0.48783
  photo__toolbar-group__rest                           photo            component           0.1501    0.21253
  checkerboard__glass-over-glass__rest                 checkerboard     component           0.2139    0.48783
  checkerboard__glass-over-glass__rest                 checkerboard     component-over      0.6970    0.69697
  photo__glass-over-glass__rest                        photo            component           0.1501    0.21253
  photo__glass-over-glass__rest                        photo            component-over      0.6579    0.65789
  checkerboard__capsule-button__pressed                checkerboard     component           0.2139    0.48783
  photo__capsule-button__pressed                       photo            component           0.1501    0.21253
  checkerboard__rrect-md__pressed                      checkerboard     component           0.2139    0.48783
  photo__rrect-md__pressed                             photo            component           0.1501    0.21253
  mid-dark-solid__capsule-button__rest                 mid-dark-solid   component           0.0595    0.05951
  dark-solid__capsule-button__rest-tint-orange         dark-solid       component           0.0117    0.01171
  impulse__capsule-button__rest-tint-orange            impulse          component           0.0003    0.00339
  checkerboard__capsule-button__rest-tint-orange       checkerboard     component           0.2139    0.48783
  photo__capsule-button__rest-tint-orange              photo            component           0.1501    0.21253
  light-solid__capsule-button__rest-tint-orange        light-solid      component           0.8910    0.89097
  photo__capsule-button__rest-tint-blue                photo            component           0.1501    0.21253
  photo__capsule-button__rest-tint-orange-half         photo            component           0.1501    0.21253
  checkerboard__capsule-button__rest-tint-blue         checkerboard     component           0.2139    0.48783
  photo__rrect-md__rest-tint-orange                    photo            component           0.1501    0.21253
  hc-text__capsule-button__rest-tint-orange            hc-text          component           0.5068    0.73145
  photo__rrect-lg__rest-tint-orange                    photo            component           0.1501    0.21253
  dark-solid__capsule-button__rest-tint-blue           dark-solid       component           0.0117    0.01171
  groups: 42; with NO tone at all: 0; with a tone of exactly 0: 0

=== dark scheme at dpr 1 ===
  scene                                                background       group                level     linear
  light-solid__capsule-button__rest                    light-solid      component           0.8910    0.89097
  dark-solid__capsule-button__rest                     dark-solid       component           0.0117    0.01171
  checkerboard__capsule-button__rest                   checkerboard     component           0.2140    0.50000
  impulse__capsule-button__rest                        impulse          component           0.0003    0.00375
  photo__capsule-button__rest                          photo            component           0.1515    0.21407
  hc-text__capsule-button__rest                        hc-text          component           0.5071    0.74003
  light-solid__rrect-md__rest                          light-solid      component           0.8910    0.89097
  dark-solid__rrect-md__rest                           dark-solid       component           0.0117    0.01171
  checkerboard__rrect-md__rest                         checkerboard     component           0.2140    0.50000
  impulse__rrect-md__rest                              impulse          component           0.0003    0.00375
  photo__rrect-md__rest                                photo            component           0.1515    0.21407
  hc-text__rrect-md__rest                              hc-text          component           0.5071    0.74003
  light-solid__rrect-ml__rest                          light-solid      component           0.8910    0.89097
  checkerboard__rrect-ml__rest                         checkerboard     component           0.2140    0.50000
  photo__rrect-ml__rest                                photo            component           0.1515    0.21407
  checkerboard__rrect-sm__rest                         checkerboard     component           0.2140    0.50000
  photo__rrect-sm__rest                                photo            component           0.1515    0.21407
  checkerboard__rrect-lg__rest                         checkerboard     component           0.2140    0.50000
  photo__rrect-lg__rest                                photo            component           0.1515    0.21407
  checkerboard__toolbar-group__rest                    checkerboard     component           0.2140    0.50000
  photo__toolbar-group__rest                           photo            component           0.1515    0.21407
  checkerboard__glass-over-glass__rest                 checkerboard     component           0.2140    0.50000
  checkerboard__glass-over-glass__rest                 checkerboard     component-over      0.0503    0.05027
  photo__glass-over-glass__rest                        photo            component           0.1515    0.21407
  photo__glass-over-glass__rest                        photo            component-over      0.0406    0.04064
  checkerboard__capsule-button__pressed                checkerboard     component           0.2140    0.50000
  photo__capsule-button__pressed                       photo            component           0.1515    0.21407
  checkerboard__rrect-md__pressed                      checkerboard     component           0.2140    0.50000
  photo__rrect-md__pressed                             photo            component           0.1515    0.21407
  mid-dark-solid__capsule-button__rest                 mid-dark-solid   component           0.0595    0.05951
  dark-solid__capsule-button__rest-tint-orange         dark-solid       component           0.0117    0.01171
  impulse__capsule-button__rest-tint-orange            impulse          component           0.0003    0.00375
  checkerboard__capsule-button__rest-tint-orange       checkerboard     component           0.2140    0.50000
  photo__capsule-button__rest-tint-orange              photo            component           0.1515    0.21407
  light-solid__capsule-button__rest-tint-orange        light-solid      component           0.8910    0.89097
  photo__capsule-button__rest-tint-blue                photo            component           0.1515    0.21407
  photo__capsule-button__rest-tint-orange-half         photo            component           0.1515    0.21407
  checkerboard__capsule-button__rest-tint-blue         checkerboard     component           0.2140    0.50000
  photo__rrect-md__rest-tint-orange                    photo            component           0.1515    0.21407
  hc-text__capsule-button__rest-tint-orange            hc-text          component           0.5071    0.74003
  photo__rrect-lg__rest-tint-orange                    photo            component           0.1515    0.21407
  dark-solid__capsule-button__rest-tint-blue           dark-solid       component           0.0117    0.01171
  groups: 42; with NO tone at all: 0; with a tone of exactly 0: 0

=== dark scheme at dpr 2 ===
  scene                                                background       group                level     linear
  light-solid__capsule-button__rest                    light-solid      component           0.8910    0.89097
  dark-solid__capsule-button__rest                     dark-solid       component           0.0117    0.01171
  checkerboard__capsule-button__rest                   checkerboard     component           0.2139    0.48783
  impulse__capsule-button__rest                        impulse          component           0.0003    0.00339
  photo__capsule-button__rest                          photo            component           0.1501    0.21253
  hc-text__capsule-button__rest                        hc-text          component           0.5068    0.73145
  light-solid__rrect-md__rest                          light-solid      component           0.8910    0.89097
  dark-solid__rrect-md__rest                           dark-solid       component           0.0117    0.01171
  checkerboard__rrect-md__rest                         checkerboard     component           0.2139    0.48783
  impulse__rrect-md__rest                              impulse          component           0.0003    0.00339
  photo__rrect-md__rest                                photo            component           0.1501    0.21253
  hc-text__rrect-md__rest                              hc-text          component           0.5068    0.73145
  light-solid__rrect-ml__rest                          light-solid      component           0.8910    0.89097
  checkerboard__rrect-ml__rest                         checkerboard     component           0.2139    0.48783
  photo__rrect-ml__rest                                photo            component           0.1501    0.21253
  checkerboard__rrect-sm__rest                         checkerboard     component           0.2139    0.48783
  photo__rrect-sm__rest                                photo            component           0.1501    0.21253
  checkerboard__rrect-lg__rest                         checkerboard     component           0.2139    0.48783
  photo__rrect-lg__rest                                photo            component           0.1501    0.21253
  checkerboard__toolbar-group__rest                    checkerboard     component           0.2139    0.48783
  photo__toolbar-group__rest                           photo            component           0.1501    0.21253
  checkerboard__glass-over-glass__rest                 checkerboard     component           0.2139    0.48783
  checkerboard__glass-over-glass__rest                 checkerboard     component-over      0.0495    0.04952
  photo__glass-over-glass__rest                        photo            component           0.1501    0.21253
  photo__glass-over-glass__rest                        photo            component-over      0.0404    0.04045
  checkerboard__capsule-button__pressed                checkerboard     component           0.2139    0.48783
  photo__capsule-button__pressed                       photo            component           0.1501    0.21253
  checkerboard__rrect-md__pressed                      checkerboard     component           0.2139    0.48783
  photo__rrect-md__pressed                             photo            component           0.1501    0.21253
  mid-dark-solid__capsule-button__rest                 mid-dark-solid   component           0.0595    0.05951
  dark-solid__capsule-button__rest-tint-orange         dark-solid       component           0.0117    0.01171
  impulse__capsule-button__rest-tint-orange            impulse          component           0.0003    0.00339
  checkerboard__capsule-button__rest-tint-orange       checkerboard     component           0.2139    0.48783
  photo__capsule-button__rest-tint-orange              photo            component           0.1501    0.21253
  light-solid__capsule-button__rest-tint-orange        light-solid      component           0.8910    0.89097
  photo__capsule-button__rest-tint-blue                photo            component           0.1501    0.21253
  photo__capsule-button__rest-tint-orange-half         photo            component           0.1501    0.21253
  checkerboard__capsule-button__rest-tint-blue         checkerboard     component           0.2139    0.48783
  photo__rrect-md__rest-tint-orange                    photo            component           0.1501    0.21253
  hc-text__capsule-button__rest-tint-orange            hc-text          component           0.5068    0.73145
  photo__rrect-lg__rest-tint-orange                    photo            component           0.1501    0.21253
  dark-solid__capsule-button__rest-tint-blue           dark-solid       component           0.0117    0.01171
  groups: 42; with NO tone at all: 0; with a tone of exactly 0: 0
