W22 G0 (d) — every GPU-tier row that moved when the resting sweep was gated

before = the canonical matrix at the 0.10.0 landing (the W21 bed); after = this gate's
scratch matrix, the same profile documents and the same bed, the sweep gone. Only the
cells the gate recaptured appear: the four standard profiles, GPU tier, calibration and
validation. The holdout is not read at this gate (X5).

profile                                scene                                        row                        before      after      delta
apple-macos-26.5-1x-dark-standard      checkerboard__rrect-md__rest                 rimPeakLuminanceWeb      0.079585   0.048468  -0.031117
apple-macos-26.5-1x-dark-standard      checkerboard__rrect-md__rest                 rimFwhmWeb               0.992031   0.982059  -0.009972
apple-macos-26.5-1x-dark-standard      checkerboard__rrect-md__rest                 ssimMean                 0.986972   0.987931  +0.000960
apple-macos-26.5-1x-dark-standard      checkerboard__rrect-md__rest                 oklabDeltaEMean          0.003945   0.003764  -0.000181
apple-macos-26.5-1x-dark-standard      checkerboard__rrect-md__rest                 interiorMeanWeb          0.050076   0.049016  -0.001061
apple-macos-26.5-1x-dark-standard      dark-solid__rrect-md__rest                   ssimMean                 0.987672   0.993408  +0.005736
apple-macos-26.5-1x-dark-standard      dark-solid__rrect-md__rest                   oklabDeltaEMean          0.004012   0.003690  -0.000322
apple-macos-26.5-1x-dark-standard      dark-solid__rrect-md__rest                   interiorMeanWeb          0.078836   0.048942  -0.029894
apple-macos-26.5-1x-dark-standard      mid-dark-solid__capsule-button__rest         rimPeakLuminanceWeb      0.008532   0.005403  -0.003129
apple-macos-26.5-1x-dark-standard      mid-dark-solid__capsule-button__rest         ssimMean                 0.996923   0.998654  +0.001730
apple-macos-26.5-1x-dark-standard      mid-dark-solid__capsule-button__rest         oklabDeltaEMean          0.000246   0.000173  -0.000073
apple-macos-26.5-1x-dark-standard      mid-dark-solid__capsule-button__rest         interiorMeanWeb          0.029061   0.028828  -0.000233
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest                  rimPeakLuminanceWeb      0.046282   0.037251  -0.009030
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest                  rimFwhmWeb               1.004884   1.004760  -0.000125
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest                  ssimMean                 0.988520   0.988452  -0.000068
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest                  oklabDeltaEMean          0.007527   0.007549  +0.000022
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest                  interiorMeanWeb          0.055568   0.054954  -0.000613
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest-tint-orange      rimPeakLuminanceWeb      0.017733   0.007062  -0.010671
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest-tint-orange      rimFwhmWeb               0.785078   0.587827  -0.197250
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest-tint-orange      ssimMean                 0.997501   0.997752  +0.000250
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest-tint-orange      oklabDeltaEMean          0.000977   0.000971  -0.000006
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest-tint-orange      interiorMeanWeb          0.427995   0.427280  -0.000715
apple-macos-26.5-1x-dark-standard      photo__rrect-lg__rest                        rimPeakLuminanceWeb      0.069884   0.042168  -0.027716
apple-macos-26.5-1x-dark-standard      photo__rrect-lg__rest                        rimFwhmWeb               1.030467   1.043718  +0.013252
apple-macos-26.5-1x-dark-standard      photo__rrect-lg__rest                        ssimMean                 0.989386   0.994632  +0.005246
apple-macos-26.5-1x-dark-standard      photo__rrect-lg__rest                        oklabDeltaEMean          0.030471   0.030233  -0.000238
apple-macos-26.5-1x-dark-standard      photo__rrect-lg__rest                        interiorMeanWeb          0.041310   0.040747  -0.000563
apple-macos-26.5-1x-dark-standard      photo__rrect-md__rest                        rimPeakLuminanceWeb      0.071876   0.041356  -0.030520
apple-macos-26.5-1x-dark-standard      photo__rrect-md__rest                        rimFwhmWeb               1.019506   1.028557  +0.009051
apple-macos-26.5-1x-dark-standard      photo__rrect-md__rest                        ssimMean                 0.992742   0.997243  +0.004501
apple-macos-26.5-1x-dark-standard      photo__rrect-md__rest                        oklabDeltaEMean          0.013128   0.013010  -0.000118
apple-macos-26.5-1x-dark-standard      photo__rrect-md__rest                        interiorMeanWeb          0.041503   0.040462  -0.001041
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest           rimPeakLuminanceWeb      0.012924   0.013267  +0.000342
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest           rimFwhmWeb               0.689992   0.728143  +0.038152
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest           ssimMean                 0.955378   0.955312  -0.000066
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest           oklabDeltaEMean          0.011063   0.011123  +0.000060
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest           interiorMeanWeb          0.949690   0.945173  -0.004518
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest           rimPeakLuminanceWeb      0.027044   0.025646  -0.001399
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest           rimFwhmWeb               0.684933   0.673360  -0.011573
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest           ssimMean                 0.965325   0.965403  +0.000078
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest           oklabDeltaEMean          0.006043   0.006032  -0.000011
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest           interiorMeanWeb          0.925893   0.925562  -0.000330
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest-tint-orange ssimMean                 0.955273   0.955275  +0.000002
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest-tint-orange oklabDeltaEMean          0.009102   0.009101  -0.000000
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest-tint-orange rimPeakLuminanceWeb      0.400217   0.350045  -0.050173
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest-tint-orange rimFwhmWeb               1.133769   1.128406  -0.005363
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest-tint-orange ssimMean                 0.958528   0.959877  +0.001349
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest-tint-orange oklabDeltaEMean          0.003979   0.003854  -0.000125
apple-macos-26.5-1x-light-increased-contrast checkerboard__capsule-button__rest-tint-orange interiorMeanWeb          0.454051   0.450308  -0.003743
apple-macos-26.5-1x-light-increased-contrast checkerboard__rrect-md__rest                 rimPeakLuminanceWeb      0.005500   0.006099  +0.000599
apple-macos-26.5-1x-light-increased-contrast checkerboard__rrect-md__rest                 rimFwhmWeb               0.455212   0.512546  +0.057333
apple-macos-26.5-1x-light-increased-contrast checkerboard__rrect-md__rest                 ssimMean                 0.924848   0.924621  -0.000227
apple-macos-26.5-1x-light-increased-contrast checkerboard__rrect-md__rest                 oklabDeltaEMean          0.018921   0.019020  +0.000099
apple-macos-26.5-1x-light-increased-contrast checkerboard__rrect-md__rest                 interiorMeanWeb          0.937602   0.935957  -0.001645
apple-macos-26.5-1x-light-increased-contrast checkerboard__rrect-md__rest                 rimPeakLuminanceWeb      0.015252   0.015030  -0.000223
apple-macos-26.5-1x-light-increased-contrast checkerboard__rrect-md__rest                 rimFwhmWeb               0.592060   0.588357  -0.003703
apple-macos-26.5-1x-light-increased-contrast checkerboard__rrect-md__rest                 ssimMean                 0.941631   0.941673  +0.000042
apple-macos-26.5-1x-light-increased-contrast checkerboard__rrect-md__rest                 oklabDeltaEMean          0.011805   0.011799  -0.000006
apple-macos-26.5-1x-light-increased-contrast checkerboard__rrect-md__rest                 interiorMeanWeb          0.923709   0.923662  -0.000047
apple-macos-26.5-1x-light-increased-contrast hc-text__capsule-button__rest                rimPeakLuminanceWeb      0.029739   0.029630  -0.000109
apple-macos-26.5-1x-light-increased-contrast hc-text__capsule-button__rest                rimFwhmWeb               1.250227   1.122205  -0.128022
apple-macos-26.5-1x-light-increased-contrast hc-text__capsule-button__rest                ssimMean                 0.963237   0.963268  +0.000031
apple-macos-26.5-1x-light-increased-contrast hc-text__capsule-button__rest                oklabDeltaEMean          0.005887   0.005877  -0.000010
apple-macos-26.5-1x-light-increased-contrast hc-text__capsule-button__rest                interiorMeanWeb          0.945282   0.945115  -0.000167
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest                  rimPeakLuminanceWeb      0.033002   0.033625  +0.000623
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest                  rimFwhmWeb               1.522564   1.504478  -0.018086
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest                  ssimMean                 0.941602   0.941577  -0.000024
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest                  oklabDeltaEMean          0.010510   0.010604  +0.000093
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest                  interiorMeanWeb          0.922159   0.917667  -0.004491
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest                  rimPeakLuminanceWeb      0.095103   0.092080  -0.003022
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest                  rimFwhmWeb               2.111541   1.886635  -0.224906
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest                  ssimMean                 0.948993   0.949109  +0.000116
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest                  oklabDeltaEMean          0.006996   0.006987  -0.000010
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest                  interiorMeanWeb          0.901446   0.900835  -0.000611
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest-tint-orange      rimPeakLuminanceWeb      0.219879   0.219819  -0.000060
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest-tint-orange      rimFwhmWeb               2.976847   2.977134  +0.000288
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest-tint-orange      ssimMean                 0.938641   0.938645  +0.000004
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest-tint-orange      oklabDeltaEMean          0.007297   0.007297  -0.000001
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest-tint-orange      interiorMeanWeb          0.448955   0.448951  -0.000004
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest-tint-orange      rimPeakLuminanceWeb      0.407742   0.354631  -0.053111
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest-tint-orange      rimFwhmWeb               1.137518   1.131667  -0.005851
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest-tint-orange      ssimMean                 0.930604   0.931777  +0.001173
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest-tint-orange      oklabDeltaEMean          0.004006   0.003873  -0.000132
apple-macos-26.5-1x-light-increased-contrast photo__capsule-button__rest-tint-orange      interiorMeanWeb          0.451538   0.447564  -0.003974
apple-macos-26.5-1x-light-increased-contrast photo__rrect-lg__rest                        rimPeakLuminanceWeb      0.039523   0.040224  +0.000701
apple-macos-26.5-1x-light-increased-contrast photo__rrect-lg__rest                        rimFwhmWeb               1.457201   1.461205  +0.004004
apple-macos-26.5-1x-light-increased-contrast photo__rrect-lg__rest                        ssimMean                 0.838608   0.838590  -0.000019
apple-macos-26.5-1x-light-increased-contrast photo__rrect-lg__rest                        oklabDeltaEMean          0.045314   0.045565  +0.000252
apple-macos-26.5-1x-light-increased-contrast photo__rrect-lg__rest                        interiorMeanWeb          0.906085   0.904937  -0.001148
apple-macos-26.5-1x-light-increased-contrast photo__rrect-lg__rest                        rimPeakLuminanceWeb      0.065575   0.060931  -0.004645
apple-macos-26.5-1x-light-increased-contrast photo__rrect-lg__rest                        rimFwhmWeb               2.700036   2.640131  -0.059905
apple-macos-26.5-1x-light-increased-contrast photo__rrect-lg__rest                        ssimMean                 0.864142   0.864435  +0.000294
apple-macos-26.5-1x-light-increased-contrast photo__rrect-lg__rest                        oklabDeltaEMean          0.034974   0.034954  -0.000020
apple-macos-26.5-1x-light-increased-contrast photo__rrect-lg__rest                        interiorMeanWeb          0.899311   0.899103  -0.000208
apple-macos-26.5-1x-light-increased-contrast photo__rrect-md__rest                        rimPeakLuminanceWeb      0.039014   0.039649  +0.000635
apple-macos-26.5-1x-light-increased-contrast photo__rrect-md__rest                        rimFwhmWeb               1.472412   1.471443  -0.000969
apple-macos-26.5-1x-light-increased-contrast photo__rrect-md__rest                        ssimMean                 0.907722   0.907707  -0.000015
apple-macos-26.5-1x-light-increased-contrast photo__rrect-md__rest                        oklabDeltaEMean          0.020697   0.020831  +0.000135
apple-macos-26.5-1x-light-increased-contrast photo__rrect-md__rest                        interiorMeanWeb          0.912486   0.910609  -0.001877
apple-macos-26.5-1x-light-increased-contrast photo__rrect-md__rest                        rimPeakLuminanceWeb      0.083131   0.078715  -0.004417
apple-macos-26.5-1x-light-increased-contrast photo__rrect-md__rest                        rimFwhmWeb               2.394294   2.307798  -0.086496
apple-macos-26.5-1x-light-increased-contrast photo__rrect-md__rest                        ssimMean                 0.921385   0.921568  +0.000183
apple-macos-26.5-1x-light-increased-contrast photo__rrect-md__rest                        oklabDeltaEMean          0.015067   0.015058  -0.000010
apple-macos-26.5-1x-light-increased-contrast photo__rrect-md__rest                        interiorMeanWeb          0.899408   0.899080  -0.000328
apple-macos-26.5-1x-light-increased-contrast photo__toolbar-group__rest                   rimPeakLuminanceWeb      0.022615   0.023505  +0.000890
apple-macos-26.5-1x-light-increased-contrast photo__toolbar-group__rest                   rimFwhmWeb               1.523448   1.516147  -0.007301
apple-macos-26.5-1x-light-increased-contrast photo__toolbar-group__rest                   ssimMean                 0.912788   0.912742  -0.000046
apple-macos-26.5-1x-light-increased-contrast photo__toolbar-group__rest                   oklabDeltaEMean          0.015240   0.015306  +0.000066
apple-macos-26.5-1x-light-increased-contrast photo__toolbar-group__rest                   interiorMeanWeb          0.916604   0.912748  -0.003856
apple-macos-26.5-1x-light-increased-contrast photo__toolbar-group__rest                   rimPeakLuminanceWeb      0.076654   0.070854  -0.005800
apple-macos-26.5-1x-light-increased-contrast photo__toolbar-group__rest                   rimFwhmWeb               1.768541   1.763745  -0.004796
apple-macos-26.5-1x-light-increased-contrast photo__toolbar-group__rest                   ssimMean                 0.925793   0.926309  +0.000516
apple-macos-26.5-1x-light-increased-contrast photo__toolbar-group__rest                   oklabDeltaEMean          0.008665   0.008624  -0.000041
apple-macos-26.5-1x-light-increased-contrast photo__toolbar-group__rest                   interiorMeanWeb          0.908972   0.908119  -0.000852
apple-macos-26.5-1x-light-reduced-transparency checkerboard__capsule-button__rest           rimPeakLuminanceWeb      0.000297   0.000377  +0.000081
apple-macos-26.5-1x-light-reduced-transparency checkerboard__capsule-button__rest           rimFwhmWeb               1.533203   1.103149  -0.430054
apple-macos-26.5-1x-light-reduced-transparency checkerboard__capsule-button__rest           ssimMean                 0.983278   0.983295  +0.000017
apple-macos-26.5-1x-light-reduced-transparency checkerboard__capsule-button__rest           oklabDeltaEMean          0.003973   0.003900  -0.000073
apple-macos-26.5-1x-light-reduced-transparency checkerboard__capsule-button__rest           interiorMeanWeb          0.928447   0.925265  -0.003182
apple-macos-26.5-1x-light-reduced-transparency checkerboard__capsule-button__rest           rimPeakLuminanceWeb      0.006632   0.000382  -0.006251
apple-macos-26.5-1x-light-reduced-transparency checkerboard__capsule-button__rest           rimPeakDistanceWeb       1.000000  10.000000  +9.000000
apple-macos-26.5-1x-light-reduced-transparency checkerboard__capsule-button__rest           rimFwhmWeb               0.389168   0.485282  +0.096114
apple-macos-26.5-1x-light-reduced-transparency checkerboard__capsule-button__rest           ssimMean                 0.997064   0.997074  +0.000010
apple-macos-26.5-1x-light-reduced-transparency checkerboard__capsule-button__rest           oklabDeltaEMean          0.001353   0.001351  -0.000003
apple-macos-26.5-1x-light-reduced-transparency checkerboard__capsule-button__rest           interiorMeanWeb          0.931380   0.930483  -0.000897
apple-macos-26.5-1x-light-reduced-transparency checkerboard__rrect-md__rest                 rimPeakLuminanceWeb      0.005459   0.005690  +0.000231
apple-macos-26.5-1x-light-reduced-transparency checkerboard__rrect-md__rest                 rimFwhmWeb               0.711227   0.712806  +0.001579
apple-macos-26.5-1x-light-reduced-transparency checkerboard__rrect-md__rest                 ssimMean                 0.973678   0.973640  -0.000038
apple-macos-26.5-1x-light-reduced-transparency checkerboard__rrect-md__rest                 oklabDeltaEMean          0.007750   0.007598  -0.000152
apple-macos-26.5-1x-light-reduced-transparency checkerboard__rrect-md__rest                 interiorMeanWeb          0.931789   0.929868  -0.001921
apple-macos-26.5-1x-light-reduced-transparency checkerboard__rrect-md__rest                 rimPeakLuminanceWeb      0.007946   0.000000  -0.007946
apple-macos-26.5-1x-light-reduced-transparency checkerboard__rrect-md__rest                 rimPeakDistanceWeb       1.000000  12.000000 +11.000000
apple-macos-26.5-1x-light-reduced-transparency checkerboard__rrect-md__rest                 rimFwhmWeb               0.417221   0.000000  -0.417221
apple-macos-26.5-1x-light-reduced-transparency checkerboard__rrect-md__rest                 ssimMean                 0.993916   0.993998  +0.000082
apple-macos-26.5-1x-light-reduced-transparency checkerboard__rrect-md__rest                 oklabDeltaEMean          0.003742   0.003730  -0.000012
apple-macos-26.5-1x-light-reduced-transparency checkerboard__rrect-md__rest                 interiorMeanWeb          0.932213   0.931909  -0.000304
apple-macos-26.5-1x-light-reduced-transparency hc-text__capsule-button__rest                rimPeakLuminanceWeb      0.015732   0.015214  -0.000518
apple-macos-26.5-1x-light-reduced-transparency hc-text__capsule-button__rest                rimPeakDistanceWeb       1.000000   2.000000  +1.000000
apple-macos-26.5-1x-light-reduced-transparency hc-text__capsule-button__rest                rimFwhmWeb               4.798777   2.030200  -2.768577
apple-macos-26.5-1x-light-reduced-transparency hc-text__capsule-button__rest                ssimMean                 0.992055   0.992100  +0.000045
apple-macos-26.5-1x-light-reduced-transparency hc-text__capsule-button__rest                oklabDeltaEMean          0.002558   0.002465  -0.000093
apple-macos-26.5-1x-light-reduced-transparency hc-text__capsule-button__rest                interiorMeanWeb          0.948514   0.944940  -0.003574
apple-macos-26.5-1x-light-reduced-transparency hc-text__capsule-button__rest                rimPeakLuminanceWeb      0.017184   0.012784  -0.004400
apple-macos-26.5-1x-light-reduced-transparency hc-text__capsule-button__rest                rimFwhmWeb               0.446722   0.373504  -0.073219
apple-macos-26.5-1x-light-reduced-transparency hc-text__capsule-button__rest                ssimMean                 0.996934   0.996886  -0.000048
apple-macos-26.5-1x-light-reduced-transparency hc-text__capsule-button__rest                oklabDeltaEMean          0.001466   0.001468  +0.000002
apple-macos-26.5-1x-light-reduced-transparency hc-text__capsule-button__rest                interiorMeanWeb          0.940543   0.940241  -0.000301
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest                  rimPeakLuminanceWeb      0.002687   0.003909  +0.001222
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest                  rimFwhmWeb               0.680563   0.884898  +0.204334
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest                  ssimMean                 0.977450   0.977438  -0.000013
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest                  oklabDeltaEMean          0.002964   0.002979  +0.000015
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest                  interiorMeanWeb          0.888593   0.884751  -0.003842
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest                  rimPeakLuminanceWeb      0.030069   0.004561  -0.025508
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest                  rimFwhmWeb               0.785232   0.352960  -0.432272
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest                  ssimMean                 0.999146   0.999223  +0.000077
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest                  oklabDeltaEMean          0.000886   0.000877  -0.000009
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest                  interiorMeanWeb          0.893879   0.892175  -0.001704
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest-tint-orange      rimPeakLuminanceWeb      0.053649   0.053626  -0.000024
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest-tint-orange      rimFwhmWeb               1.011497   1.011502  +0.000005
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest-tint-orange      ssimMean                 0.977624   0.977631  +0.000008
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest-tint-orange      oklabDeltaEMean          0.002202   0.002202  -0.000000
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest-tint-orange      interiorMeanWeb          0.417368   0.417366  -0.000002
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest-tint-orange      rimPeakLuminanceWeb      0.095782   0.044232  -0.051549
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest-tint-orange      rimFwhmWeb               0.967051   0.926573  -0.040478
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest-tint-orange      ssimMean                 0.997744   0.997409  -0.000335
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest-tint-orange      oklabDeltaEMean          0.000723   0.000719  -0.000004
apple-macos-26.5-1x-light-reduced-transparency photo__capsule-button__rest-tint-orange      interiorMeanWeb          0.418319   0.414878  -0.003441
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-lg__rest                        rimPeakLuminanceWeb      0.004244   0.004695  +0.000451
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-lg__rest                        rimFwhmWeb               0.482906   0.528531  +0.045625
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-lg__rest                        ssimMean                 0.935096   0.935094  -0.000002
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-lg__rest                        oklabDeltaEMean          0.012562   0.012572  +0.000010
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-lg__rest                        interiorMeanWeb          0.893225   0.892217  -0.001008
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-lg__rest                        rimPeakLuminanceWeb      0.012234   0.000000  -0.012234
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-lg__rest                        rimPeakDistanceWeb       1.000000  12.000000 +11.000000
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-lg__rest                        rimFwhmWeb               0.548111   0.000000  -0.548111
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-lg__rest                        ssimMean                 0.998071   0.998266  +0.000195
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-lg__rest                        oklabDeltaEMean          0.005404   0.005360  -0.000044
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-lg__rest                        interiorMeanWeb          0.897046   0.896518  -0.000527
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-md__rest                        rimPeakLuminanceWeb      0.007364   0.007800  +0.000436
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-md__rest                        rimFwhmWeb               0.753584   0.772411  +0.018828
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-md__rest                        ssimMean                 0.963956   0.963955  -0.000001
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-md__rest                        oklabDeltaEMean          0.005398   0.005419  +0.000021
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-md__rest                        interiorMeanWeb          0.892810   0.891099  -0.001711
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-md__rest                        rimPeakLuminanceWeb      0.022692   0.000000  -0.022692
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-md__rest                        rimPeakDistanceWeb       1.000000  12.000000 +11.000000
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-md__rest                        rimFwhmWeb               0.686285   0.000000  -0.686285
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-md__rest                        ssimMean                 0.999008   0.999073  +0.000064
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-md__rest                        oklabDeltaEMean          0.001942   0.001924  -0.000017
apple-macos-26.5-1x-light-reduced-transparency photo__rrect-md__rest                        interiorMeanWeb          0.895404   0.894511  -0.000893
apple-macos-26.5-1x-light-reduced-transparency photo__toolbar-group__rest                   rimPeakLuminanceWeb      0.000541   0.001001  +0.000460
apple-macos-26.5-1x-light-reduced-transparency photo__toolbar-group__rest                   rimPeakDistanceWeb       6.000000   7.000000  +1.000000
apple-macos-26.5-1x-light-reduced-transparency photo__toolbar-group__rest                   rimFwhmWeb               2.988147   3.862275  +0.874129
apple-macos-26.5-1x-light-reduced-transparency photo__toolbar-group__rest                   ssimMean                 0.966294   0.966295  +0.000001
apple-macos-26.5-1x-light-reduced-transparency photo__toolbar-group__rest                   oklabDeltaEMean          0.004696   0.004735  +0.000039
apple-macos-26.5-1x-light-reduced-transparency photo__toolbar-group__rest                   interiorMeanWeb          0.870782   0.867691  -0.003092
apple-macos-26.5-1x-light-reduced-transparency photo__toolbar-group__rest                   ssimMean                 0.998913   0.998817  -0.000096
apple-macos-26.5-1x-light-reduced-transparency photo__toolbar-group__rest                   oklabDeltaEMean          0.001109   0.001130  +0.000021
apple-macos-26.5-1x-light-reduced-transparency photo__toolbar-group__rest                   interiorMeanWeb          0.892959   0.889912  -0.003047
