== apple-macos-26.5-2x-light-standard / css  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
checkerboard-64__rrect-ml__rest              unassigned   0.6761  0.6936 | +0.2207 +0.2133 -0.1734 -0.1735 | +0.1081 +0.0436 +0.5323 +0.5230 |  0.00  0.00  0.00  0.00
checkerboard-64__rrect-lg__rest              unassigned   0.6878  0.6967 | +0.1873 +0.1905 +0.3013 +0.3014 | +0.1866 +0.1332 +0.5182 +0.5072 |  0.00  0.00  0.00  0.00
checkerboard-lc16__rrect-sm__rest            unassigned   0.8014  0.8205 | +0.1044 +0.1021 +0.0501 +0.1569 | +0.0359 -0.0009 -0.1208 +0.0934 |  0.00  0.00  0.00  0.00
checkerboard-lc16__capsule-button__rest      unassigned   0.8012  0.8153 | +0.1030 +0.1025     -       -   | +0.0404 +0.0009     -       -   |  0.00  0.00   -     -  
checkerboard-lc16__rrect-md__rest            unassigned   0.7893  0.8060 | +0.1066 +0.1065 +0.1416 +0.0735 | +0.0407 -0.0009 +0.0383 +0.0014 |  0.00  0.00  0.00  0.00
checkerboard-lc16__rrect-ml__rest            unassigned   0.7991  0.8042 | +0.1049 +0.1043 +0.1070 +0.1030 | +0.0410 -0.0006 +0.0120 +0.0150 |  0.00  0.00  0.00  0.00
checkerboard-lc16__rrect-lg__rest            unassigned   0.8091  0.8035 | +0.1033 +0.1016 +0.0928 +0.1122 | +0.0419 +0.0007 +0.0150 +0.0300 |  0.00  0.00  0.00  0.00
hc-text-7__rrect-sm__rest                    unassigned   0.7546  0.7760 | +0.0211 +0.0740 +0.0895 +0.1001 | +0.2408 -0.1324 +0.0344 +0.0142 |  0.00  0.00  0.00  0.00
hc-text-7__rrect-md__rest                    unassigned   0.7396  0.7769 | +0.1152 +0.1562 +0.0929 +0.2244 | -0.2364 +0.1094 -0.0051 +0.2643 |  0.00  0.00  0.00  0.00
hc-text-7__rrect-lg__rest                    unassigned   0.8102  0.8048 | +0.0704 +0.0825 +0.0528 +0.2838 | +0.1661 -0.0371 -0.0663 +0.3374 |  0.00  0.00  0.00  0.41
hc-text-28__rrect-sm__rest                   unassigned   0.6483  0.6795 | -0.0347 +0.0931 -0.1131 -0.1131 | +0.5879 +0.6011 -0.2471 -0.3285 |  0.00  0.00  0.00  0.00
hc-text-28__rrect-md__rest                   unassigned   0.6957  0.7706 | +0.1086 +0.3197 +0.0662 +0.0922 | +0.3762 +0.1977 +0.0314 +0.3606 |  0.00  0.00  0.00  0.00
hc-text-28__rrect-lg__rest                   unassigned   0.7927  0.8046 | +0.2304 +0.2423 +0.1216 +0.3507 | +0.3115 -0.3421 -0.0437 +0.3028 |  0.26  0.00  0.00  0.89
hc-text__rrect-sm__rest                      unassigned   0.7719  0.7844 | +0.1078 -0.0092 -0.1498 -0.1498 | -0.4912 -0.5235 -0.2313 -0.2898 |  0.00  0.00  0.00  0.00
hc-text__rrect-lg__rest                      unassigned   0.8066  0.7959 | +0.0425 +0.0858 +0.0568 +0.2633 | +0.2973 +0.2668 -0.0509 +0.3201 |  0.00  0.23  0.00  0.67
light-solid__rrect-sm__rest                  unassigned   0.9666  0.9741 | +0.0293 +0.0293 +0.0293 +0.0293 | +0.0006 -0.0000 +0.0006 -0.0000 |  1.00  1.00  1.00  1.00
light-solid__rrect-lg__rest                  unassigned   0.9323  0.9323 | +0.0526 +0.0526 +0.0526 +0.0526 | +0.0092 +0.0007 +0.0092 +0.0007 |  0.00  0.00  0.00  0.00
dark-solid__rrect-sm__rest                   unassigned   0.0110  0.0117 | +0.0204 +0.0204 +0.0204 +0.0204 | +0.0036 +0.0000 +0.0036 +0.0000 |  0.00  0.00  0.00  0.00
dark-solid__rrect-lg__rest                   unassigned   0.5023  0.5012 | +0.2011 +0.2011 +0.2025 +0.2025 | +0.1519 +0.0033 +0.1519 +0.0033 |  0.00  0.00  0.00  0.00
mid-dark-solid__rrect-sm__rest               unassigned   0.4397  0.4678 | +0.2205 +0.2205 +0.2205 +0.2205 | +0.1630 +0.0000 +0.1630 +0.0000 |  0.00  0.00  0.00  0.00
mid-dark-solid__rrect-md__rest               unassigned   0.5584  0.5770 | +0.1815 +0.1815 +0.1830 +0.1830 | +0.1174 +0.0011 +0.1174 +0.0011 |  0.00  0.00  0.00  0.00
mid-dark-solid__rrect-lg__rest               unassigned   0.5825  0.5759 | +0.1772 +0.1772 +0.1783 +0.1783 | +0.1197 +0.0034 +0.1197 +0.0034 |  0.00  0.00  0.00  0.00
checkerboard-4__capsule-button__rest-tint-orange unassigned   0.3517  0.3664 | +0.1641 +0.1641     -       -   | +0.0423 +0.0000     -       -   |  0.00  0.00   -     -  
checkerboard-8__capsule-button__rest-tint-orange unassigned   0.3516  0.3665 | +0.1638 +0.1638     -       -   | +0.0421 -0.0002     -       -   |  0.00  0.00   -     -  
checkerboard-32__capsule-button__rest-tint-orange unassigned   0.3528  0.3664 | +0.1632 +0.1610     -       -   | +0.0423 +0.0000     -       -   |  0.00  0.00   -     -  
checkerboard-64__capsule-button__rest-tint-orange unassigned   0.3587  0.3618 | +0.2279 +0.2319     -       -   | +0.0419 +0.0000     -       -   |  0.00  0.00   -     -  
impulse__rrect-sm__rest                      unassigned   0.0070  0.0033 | +0.0163 +0.0169 +0.0136 +0.0136 | +0.0023 -0.0000 +0.0023 -0.0000 |  0.00  0.00  0.00  0.00
impulse__rrect-ml__rest                      unassigned   0.4401  0.4679 | +0.2151 +0.2153 +0.2316 +0.2313 | +0.1776 -0.0003 +0.1491 -0.0003 |  0.00  0.00  0.00  0.00
impulse__rrect-lg__rest                      unassigned   0.4515  0.4687 | +0.2117 +0.2117 +0.2135 +0.2135 | +0.1476 -0.0018 +0.1476 -0.0018 |  0.00  0.00  0.00  0.00
dark-solid__rrect-48__rest                   unassigned   0.0110  0.0138 | +0.0204 +0.0204 +0.0204 +0.0204 | +0.0048 +0.0000 +0.0048 +0.0000 |  0.00  0.00  0.00  0.00
dark-solid__rrect-64__rest                   unassigned   0.0110  0.2916 | +0.0204 +0.0204 +0.0204 +0.0204 | +0.1105 +0.0003 +0.1105 +0.0003 |  0.00  0.00  0.00  0.00
dark-solid__rrect-80__rest                   unassigned   0.4739  0.4791 | +0.2052 +0.2051 +0.2070 +0.2069 | +0.1657 +0.0005 +0.1657 +0.0005 |  0.00  0.00  0.00  0.00
dark-solid__rrect-ml__rest                   unassigned   0.4910  0.5020 | +0.2029 +0.2029 +0.2046 +0.2046 | +0.1504 +0.0018 +0.1504 +0.0018 |  0.00  0.00  0.00  0.00
dark-solid__rrect-md-clear20__rest           unassigned   0.3349  0.3500 | -0.6464 +0.2897 -0.0271 -0.1201 | -0.6766 +0.3057 -0.0584 -0.0068 |  0.00  0.00  0.00  0.00

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/packages/calibration/results/2026-09-10-w26-heavy-width/g2/canonical-reads/apple-macos-26.5-2x-light-standard-css-after.json
